defName,label,modName,packageId,workerClass,categories,gate
VEE_Mossy,mossy,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,RimWorld.TileMutatorWorker_Patches,,
VEE_Mycelium,mycelium,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_PlantsWithCommonality,,
VEE_NaturalAerie,natural aerie,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_Aerie,VEE_AnimalDensities,
VEE_NoDiseases,no diseases,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,VEE_Diseases,
VEE_NoWind,no wind,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,RimWorld.TileMutatorWorker_IncreaseWeatherFrequency,"Weather,VEE_Windy",
VEE_NobleSteeds,noble steeds,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_ExtraAnimal,,
VEE_ObsidianChunks,obsidian chunks,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,,
VEE_PermafrostBasin,permafrost basin,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_PermafrostBasin,,maxHilliness=Flat
VEE_PlentifulGrass,plentiful grass,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_PlentifulGrass,VEE_LowPlantPlentifulGrass,
VEE_PoisonousFlora,poisonous flora,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_PoisonousFlora,,
VEE_QuicksandPits,quicksand pits,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_QuicksandPits,Lake,coastSides=0..0
VEE_RagingWind,raging winds,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,RimWorld.TileMutatorWorker_IncreaseWeatherFrequency,"Weather,VEE_Windy",
VEE_ReducedDiseases,reduced diseases,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,VEE_Diseases,
VEE_ReducedPredators,reduced predators,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_ReducedPredators,VEE_AnimalDensities,
VEE_ReducedPrey,reduced prey,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_ReducedPrey,VEE_AnimalDensities,
VEE_RelictDelta,relict delta,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_RelictDelta,River,maxHilliness=Flat;coastSides=1..6
VEE_ResurgentCaldera,resurgent caldera,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_ResurgentCaldera,Mountain,maxHilliness=Flat;coastSides=0..0
VEE_RisingWaters,rising waters,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,RimWorld.TileMutatorWorker_Coast,Coast,maxHilliness=Flat;coastSides=1..5
VEE_RodentPlagues,rodent plagues,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_ExtraAnimal,,
VEE_Sinkholes,sinkholes,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,,
VEE_SkygazingSpot,skygazing spot,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,,
VEE_SmallerRegion,smaller region,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,VEE_MapSize,
VEE_SmokeVents,smoke geysers,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_GenericPrefabSpawner,,
VEE_SteamGeysers_Decreased,no geothermal activity,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,"VEE_Geothermal_GeyserAmount,VEE_Geothermal_NotHigh",
VEE_StrongerTides,stronger tides,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,,coastSides=1..6
VEE_SulfuricRiver,sulfuric river,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_SulfuricRiver,River,maxHilliness=Flat
VEE_TornadoAlley,tornado alley,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,,
VEE_ToxicVents,toxic geysers,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_GenericPrefabSpawner,,
VEE_TropicalBeach,tropical beach,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_TropicalBeach,Coast,coastSides=1..5
VEE_TropicalBeachFlora,tropical beach flora,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_RemoveSpecificFlora,,
VEE_UndergroundGasDeposits,underground gas deposits,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,,
VEE_VenomousEcosystem,venomous ecosystem,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_Venomous,VEE_AnimalDensities,
VEE_VolcanicRichSoil,rich volcanic soil,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,RimWorld.TileMutatorWorker_Patches,,
VEE_VolcanicSandDesert,volcanic sand desert,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_VolcanicSandDesert,,
VEE_VolcanicSandDesertFlora,volcanic sand flora,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_RemoveSpecificFlora,,
VEE_Volcano,volcano,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VanillaExplorationExpanded.TileMutatorWorker_Volcano,Mountain,maxHilliness=Flat;coastSides=0..0
VEE_WanderingCompanions,wandering companions,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,,,
VEE_WastelandFauna,wasteland fauna,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,VEF.Maps.TileMutatorWorker_ExtraAnimal,VEE_AnimalDensities,
VEE_WildRice,wild rice,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
VEE_WildSucculents,wild succulents,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
VEE_WildWheat,wild wheat,Vanilla Landmarks Expanded,vanillaexpanded.vexploratione,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
WetClimate,wet climate,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_IncreaseWeatherFrequency,Weather,
Wetland,wetland,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_Wetland,,coastSides=0..0
WildAlderaanPlants,wild plants,Star Wars Animal Collection (Continued),mlie.starwarsanimalcollection,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
WildDantooinePlants,wild plants,Star Wars Animal Collection (Continued),mlie.starwarsanimalcollection,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
WildFelucianPlants,wild plants,Star Wars Animal Collection (Continued),mlie.starwarsanimalcollection,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
WildGalacticPlants,wild plants,Star Wars Animal Collection (Continued),mlie.starwarsanimalcollection,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
WildNabooPlants,wild plants,Star Wars Animal Collection (Continued),mlie.starwarsanimalcollection,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
WildPlants,wild plants,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
WildRylothPlants,wild plants,Star Wars Animal Collection (Continued),mlie.starwarsanimalcollection,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
WildTattooinePlants,wild plants,Star Wars Animal Collection (Continued),mlie.starwarsanimalcollection,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
WildTropicalPlants,wild plants,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
WindyMutator,windy,Odyssey,ludeon.rimworld.odyssey,RimWorld.TileMutatorWorker_IncreaseWeatherFrequency,"Weather,VEE_Windy",
ZMD_NoMutator,none,Map Designer,zylle.mapdesigner,,,
