# FAUNA_TOLERANCE_NORMALIZATION_1 offline census - Law 5 (domain envelope [p05,p95] +/-15C).
# Sources (sha256/16): decisions=e45830e93d80fe77 move_mapping=6ed495e291cbfab4 tiles=756d9ffc8a22c3d2 animals_csv=ccbe56df39c9a157 modsconfig=b2b45866508f3a7f
# comfyTemp from mod XML via animal_inventory.py (base XML, pre-patch, inheritance-resolved); DEFAULTED = StatDef defaults 0/40 used.
defName,mod,biomes,envLo,envHi,needLo,needHi,comfyMin,comfyMax,defaulted,coldGap,heatGap,status
AA_GiantCrownedSilkie,Alpha Animals,poison_forest,-7.1,22.5,-22.1,37.5,-65.0,35.0,,0,2.5,VIOLATION
AA_LuciferBug,Alpha Animals,poison_forest,-7.1,22.5,-22.1,37.5,-20.0,40.0,DEFAULTED,2.1,0,VIOLATION
AA_RipperHound,Alpha Animals,poison_forest,-7.1,22.5,-22.1,37.5,-20.0,45.0,,2.1,0,VIOLATION
Bantha,Star Wars Animal Collection (Continued),arid_shrubland+desert+weeping_stones,-7.1,58.6,-22.1,73.6,-20.0,80.0,,2.1,0,VIOLATION
Ronto,Star Wars Animal Collection (Continued),arid_shrubland+desert,-7.1,45.9,-22.1,60.9,-20.0,80.0,,2.1,0,VIOLATION
RSW_Lanternwhale,RimMandrake: SW — Bestiary,terminator_sea+the_twilight_deep,-9.5,31.0,-24.5,46.0,-35.0,45.0,,0,1.0,VIOLATION
LavaSnail,Odyssey,the_forge,41.9,55.8,26.9,70.8,0.0,70.0,,0,0.8,VIOLATION
Gutkurr,Star Wars Animal Collection (Continued),desert,9.5,35.1,-5.5,50.1,-5.0,70.0,,0.5,0,VIOLATION
IridonianReek,Star Wars Animal Collection (Continued),desert,9.5,35.1,-5.5,50.1,-5.0,70.0,,0.5,0,VIOLATION
Jamel,Star Wars Animal Collection (Continued),desert+weeping_stones,9.5,58.6,-5.5,73.6,-5.0,80.0,,0.5,0,VIOLATION
Eopie,Star Wars Animal Collection (Continued),arid_shrubland+desert+the_cracked_lands+weeping_stones,-7.1,58.6,-22.1,73.6,-22.0,80.0,,0.1,0,VIOLATION
Varactyl,Star Wars Animal Collection (Continued),desert,9.5,35.1,-5.5,50.1,-14.0,50.0,,0,0.1,VIOLATION
Woolamander,Star Wars Animal Collection (Continued),the_cracked_lands,6.4,55.1,-8.6,70.1,-15.0,70.0,,0,0.1,VIOLATION
AA_AuroraSylph,Alpha Animals,the_propane_lakes,-76.5,-45.3,-91.5,-30.3,-300.0,50000.0,,0,0,OK
AA_BedBug,Alpha Animals,poison_forest,-7.1,22.5,-22.1,37.5,-70.0,40.0,DEFAULTED,0,0,OK
AA_Behemoth,Alpha Animals,forsaken_crags,-19.7,3.1,-34.7,18.1,-50.0,100.0,,0,0,OK
AA_Bumbledrone,Alpha Animals,the_sump,-5.0,15.4,-20.0,30.4,-25.0,40.0,DEFAULTED,0,0,OK
AA_BumbledroneHierophant,Alpha Animals,the_sump,-5.0,15.4,-20.0,30.4,-25.0,40.0,DEFAULTED,0,0,OK
AA_BumbledroneQueen,Alpha Animals,the_sump,-5.0,15.4,-20.0,30.4,-25.0,40.0,DEFAULTED,0,0,OK
AA_CrystalMit,Alpha Animals,poison_forest,-7.1,22.5,-22.1,37.5,-65.0,40.0,DEFAULTED,0,0,OK
AA_Darkbeast,Alpha Animals,forsaken_crags,-19.7,3.1,-34.7,18.1,-80.0,35.0,,0,0,OK
AA_FireWasp,Alpha Animals,the_pyrelands,37.3,63.8,22.3,78.8,10.0,175.0,,0,0,OK
AA_FungalHusk,Alpha Animals,the_contagion,24.9,51.5,9.9,66.5,-100.0,100.0,,0,0,OK
AA_GreenGoo,Alpha Animals,the_slime,-0.6,20.1,-15.6,35.1,-100.0,85.0,,0,0,OK
AA_MammothWorm,Alpha Animals,desert,9.5,35.1,-5.5,50.1,-30.0,75.0,,0,0,OK
AA_Metallovore,Alpha Animals,the_forge,41.9,55.8,26.9,70.8,-20.0,85.0,,0,0,OK
AA_NightMule,Alpha Animals,forsaken_crags,-19.7,3.1,-34.7,18.1,-55.0,45.0,,0,0,OK
AA_NightRam,Alpha Animals,forsaken_crags,-19.7,3.1,-34.7,18.1,-35.0,40.0,DEFAULTED,0,0,OK
AA_Nightling,Alpha Animals,forsaken_crags,-19.7,3.1,-34.7,18.1,-35.0,40.0,DEFAULTED,0,0,OK
AA_OvergrownColossus,Alpha Animals,the_slime,-0.6,20.1,-15.6,35.1,-30.0,40.0,DEFAULTED,0,0,OK
AA_Radyak,Alpha Animals,poison_forest,-7.1,22.5,-22.1,37.5,-65.0,40.0,DEFAULTED,0,0,OK
AA_RedGoo,Alpha Animals,the_contagion,24.9,51.5,9.9,66.5,-100.0,85.0,,0,0,OK
AA_RedSpore,Alpha Animals,the_contagion,24.9,51.5,9.9,66.5,-100.0,100.0,,0,0,OK
AA_SandSquid,Alpha Animals,desert+the_cracked_lands,6.4,55.1,-8.6,70.1,-10.0,100.0,,0,0,OK
AA_ShadowCharger,Alpha Animals,forsaken_crags,-19.7,3.1,-34.7,18.1,-35.0,40.0,DEFAULTED,0,0,OK
AA_Skyeel,Alpha Animals,the_propane_lakes,-76.5,-45.3,-91.5,-30.3,-100.0,60.0,,0,0,OK
AA_Slurrypede,Alpha Animals,the_miasma+the_propane_lakes,-76.5,58.2,-91.5,73.2,-100.0,250.0,,0,0,OK
AA_SpinedGow,Alpha Animals,deep_desert+dune_sea,31.9,61.6,16.9,76.6,5.0,120.0,,0,0,OK
AA_SummitCrab,Alpha Animals,nightside_ice,-47.4,-20.6,-62.4,-5.6,-65.0,40.0,DEFAULTED,0,0,OK
AA_TarGuzzler,Alpha Animals,the_sump,-5.0,15.4,-20.0,30.4,-20.0,40.0,DEFAULTED,0,0,OK
AA_TeratogenicOriginator,Alpha Animals,the_slime,-0.6,20.1,-15.6,35.1,-80.0,40.0,DEFAULTED,0,0,OK
AA_Thunderox,Alpha Animals,forsaken_crags,-19.7,3.1,-34.7,18.1,-35.0,40.0,,0,0,OK
AM_Dryad_Corruptor,Alpha Memes,poison_forest,-7.1,22.5,-22.1,37.5,-50.0,50.0,,0,0,OK
AM_Dryad_Ocular,Alpha Memes,poison_forest,-7.1,22.5,-22.1,37.5,-50.0,50.0,,0,0,OK
AM_Dryad_Tumorous,Alpha Memes,poison_forest,-7.1,22.5,-22.1,37.5,-50.0,50.0,,0,0,OK
BMT_BunkerBug,Biomes! Polluted Lands,fall_line,,,,,-55.0,75.0,,,,ENV_UNMEASURED
BMT_ColonyPustuleHornet,Biomes! Polluted Lands,the_rot,-38.1,16.4,-53.1,31.4,-60.0,70.0,,0,0,OK
BMT_ColonyPustuleHornetQueen,Biomes! Polluted Lands,the_rot,-38.1,16.4,-53.1,31.4,-60.0,70.0,,0,0,OK
BMT_CrystalCrab,Biomes! Caverns,the_lantern_deeps,,,,,-55.0,45.0,,,,ENV_UNMEASURED
BMT_FacetMothLarvae,Biomes! Caverns,the_lantern_deeps,,,,,-25.0,60.0,,,,ENV_UNMEASURED
BMT_FoundryBeetle,Biomes! Caverns,the_scarlands,58.1,65.9,43.1,80.9,37.7778,352.222,,0,0,OK
BMT_Gembug,Biomes! Caverns,the_lantern_deeps,,,,,-20.0,60.0,,,,ENV_UNMEASURED
BMT_Megapleura,Biomes! Caverns,fall_line,,,,,-55.0,45.0,,,,ENV_UNMEASURED
BMT_PodWorm,Biomes! Caverns,the_miasma,27.8,58.2,12.8,73.2,-10.0,300.0,,0,0,OK
BMT_PustuleHornet,Biomes! Polluted Lands,the_rot,-38.1,16.4,-53.1,31.4,-60.0,70.0,,0,0,OK
BMT_PustuleHornetQueen,Biomes! Polluted Lands,the_rot,-38.1,16.4,-53.1,31.4,-60.0,70.0,,0,0,OK
BMT_PustuleHornetSpawned,Biomes! Polluted Lands,the_rot,-38.1,16.4,-53.1,31.4,-60.0,70.0,,0,0,OK
BMT_Thrumbungus,Biomes! Caverns,the_rot,-38.1,16.4,-53.1,31.4,-65.0,352.222,,0,0,OK
Beldon,Star Wars Animal Collection (Continued),the_forge,41.9,55.8,26.9,70.8,-100.0,100.0,,0,0,OK
Bolotaur,Star Wars Animal Collection (Continued),desert,9.5,35.1,-5.5,50.1,-10.0,60.0,,0,0,OK
Borcatu,Star Wars Animal Collection (Continued),wasteland,-13.1,28.1,-28.1,43.1,-30.0,60.0,,0,0,OK
DA_RockTroll,Dark Ages : Beasts and Monsters,the_cracked_lands,6.4,55.1,-8.6,70.1,-55.0,80.0,,0,0,OK
Dewback,Star Wars Animal Collection (Continued),weeping_stones,19.5,58.6,4.5,73.6,-10.0,80.0,,0,0,OK
Dragonsnake,Star Wars Animal Collection (Continued),the_greentide,37.9,59.9,22.9,74.9,-10.0,80.0,,0,0,OK
Falumpaset,Star Wars Animal Collection (Continued),desert,9.5,35.1,-5.5,50.1,-20.0,60.0,,0,0,OK
Fanback,Star Wars Animal Collection (Continued),weeping_stones,19.5,58.6,4.5,73.6,-8.0,80.0,,0,0,OK
GR_Mantistanis,NOT_IN_XML_SET,the_pyrelands,37.3,63.8,22.3,78.8,0.0,40.0,DEFAULTED,0,38.8,XML_UNMEASURED
GR_Mecharat,Vanilla Genetics Expanded,the_rust_cathedral,58.7,65.2,43.7,80.2,-100.0,250.0,,0,0,OK
GR_Nighthrumbo,Vanilla Genetics Expanded,forsaken_crags,-19.7,3.1,-34.7,18.1,-35.0,40.0,DEFAULTED,0,0,OK
GraniteSlug,Star Wars Animal Collection (Continued),deep_desert+dune_sea+poison_forest,-7.1,61.6,-22.1,76.6,-270.0,100.0,,0,0,OK
GreaterKraytDragon,Star Wars Animal Collection (Continued),deep_desert+dune_sea,31.9,61.6,16.9,76.6,-20.0,100.0,,0,0,OK
Hawkbat,Star Wars Animal Collection (Continued),the_greentide,37.9,59.9,22.9,74.9,0.0,80.0,,0,0,OK
Horax,Star Wars Animal Collection (Continued),desert,9.5,35.1,-5.5,50.1,-17.0,70.0,,0,0,OK
Hrumph,Star Wars Animal Collection (Continued),desert,9.5,35.1,-5.5,50.1,-10.0,60.0,,0,0,OK
Jakobeast,Star Wars Animal Collection (Continued),nightside_ice,-47.4,-20.6,-62.4,-5.6,-80.0,35.0,,0,0,OK
Jimvu,Star Wars Animal Collection (Continued),desert,9.5,35.1,-5.5,50.1,-10.0,60.0,,0,0,OK
KraytDragon,Star Wars Animal Collection (Continued),deep_desert+dune_sea,31.9,61.6,16.9,76.6,-20.0,100.0,,0,0,OK
Krykna,Star Wars Animal Collection (Continued),desert,9.5,35.1,-5.5,50.1,-270.0,100.0,,0,0,OK
LavaFlea,Star Wars Animal Collection (Continued),the_forge,41.9,55.8,26.9,70.8,0.0,999.0,,0,0,OK
Ling_Cockroach,Rim cockroach,the_rust_cathedral,58.7,65.2,43.7,80.2,-60.0,100.0,,0,0,OK
Lylek,Star Wars Animal Collection (Continued),poison_forest,-7.1,22.5,-22.1,37.5,-75.0,300.0,,0,0,OK
MA_Sporemole,NOT_IN_XML_SET,the_rot,-38.1,16.4,-53.1,31.4,0.0,40.0,DEFAULTED,53.1,0,XML_UNMEASURED
Mudhorn,Star Wars Animal Collection (Continued),arid_shrubland,-7.1,45.9,-22.1,60.9,-25.0,70.0,,0,0,OK
Mynock,Star Wars Animal Collection (Continued),fall_line+poison_forest+the_scarlands,-7.1,65.9,-22.1,80.9,-270.0,100.0,,0,0,OK
Neebray,Star Wars Animal Collection (Continued),poison_forest,-7.1,22.5,-22.1,37.5,-270.0,100.0,,0,0,OK
Orray,Star Wars Animal Collection (Continued),the_pyrelands,37.3,63.8,22.3,78.8,-6.0,80.0,,0,0,OK
OuterRim_AstromechDroid,NOT_IN_XML_SET,fall_line,,,,,0.0,40.0,DEFAULTED,,,ENV_UNMEASURED
OuterRim_DUMDroid,NOT_IN_XML_SET,fall_line,,,,,0.0,40.0,DEFAULTED,,,ENV_UNMEASURED
OuterRim_DestroyerDroid,NOT_IN_XML_SET,fall_line,,,,,0.0,40.0,DEFAULTED,,,ENV_UNMEASURED
OuterRim_FX7Droid,NOT_IN_XML_SET,fall_line,,,,,0.0,40.0,DEFAULTED,,,ENV_UNMEASURED
OuterRim_GNKDroid,NOT_IN_XML_SET,fall_line,,,,,0.0,40.0,DEFAULTED,,,ENV_UNMEASURED
OuterRim_MSEDroid,NOT_IN_XML_SET,fall_line,,,,,0.0,40.0,DEFAULTED,,,ENV_UNMEASURED
OuterRim_MuckrakerDroid,NOT_IN_XML_SET,fall_line,,,,,0.0,40.0,DEFAULTED,,,ENV_UNMEASURED
OuterRim_SalvageAssistDroid,NOT_IN_XML_SET,fall_line,,,,,0.0,40.0,DEFAULTED,,,ENV_UNMEASURED
RSW_ElderSando,RimMandrake: SW — Bestiary,the_grey_deep,-5.0,28.0,-20.0,43.0,-20.0,50.0,,0,0,OK
RSW_Reefback,RimMandrake: SW — Bestiary,terminator_sea+the_grey_deep,-6.8,29.9,-21.8,44.9,-30.0,50.0,,0,0,OK
RSW_Starmaw,RimMandrake: SW — Bestiary,the_twilight_deep,-9.5,31.0,-24.5,46.0,-30.0,50.0,,0,0,OK
Rat,Core,fall_line,,,,,-30.0,40.0,DEFAULTED,,,ENV_UNMEASURED
SW_Electricfish,Insectoids 2 - Isopoda geneline,the_scarlands,58.1,65.9,43.1,80.9,-25.0,120.0,,0,0,OK
SW_Electricgryllotalpa,Insectoids 2 - Isopoda geneline,the_scarlands,58.1,65.9,43.1,80.9,-40.0,160.0,,0,0,OK
SW_Electrictick,Insectoids 2 - Isopoda geneline,the_scarlands,58.1,65.9,43.1,80.9,-20.0,120.0,,0,0,OK
SW_Grenadierworm,Insectoids 2 - Isopoda geneline,the_scarlands,58.1,65.9,43.1,80.9,-40.0,160.0,,0,0,OK
SW_Juggernautbeetles,Insectoids 2 - Isopoda geneline,the_scarlands,58.1,65.9,43.1,80.9,-40.0,160.0,,0,0,OK
Scavrat,Star Wars Animal Collection (Continued),fall_line,,,,,-30.0,50.0,,,,ENV_UNMEASURED
Shyrack,Star Wars Animal Collection (Continued),desert+the_webwork,9.5,59.3,-5.5,74.3,-7.0,80.0,,0,0,OK
TeeMuss,Star Wars Animal Collection (Continued),desert,9.5,35.1,-5.5,50.1,-40.0,60.0,,0,0,OK
Tibidee,Star Wars Animal Collection (Continued),the_forge,41.9,55.8,26.9,70.8,-270.0,100.0,,0,0,OK
Uvak,Star Wars Animal Collection (Continued),desert,9.5,35.1,-5.5,50.1,-14.0,60.0,,0,0,OK
VAEWaste_Hydra,NOT_IN_XML_SET,arid_shrubland,-7.1,45.9,-22.1,60.9,0.0,40.0,DEFAULTED,22.1,20.9,XML_UNMEASURED
VAEWaste_Megatardi,RimUtinni Patches (Jawa campaign),wasteland,-13.1,28.1,-28.1,43.1,-50.0,60.0,,0,0,OK
Wampa,Star Wars Animal Collection (Continued),nightside_ice,-47.4,-20.6,-62.4,-5.6,-80.0,40.0,DEFAULTED,0,0,OK
WarWyrm,Star Wars Animal Collection (Continued),deep_desert+dune_sea,31.9,61.6,16.9,76.6,-270.0,999.0,,0,0,OK
WompRat,Star Wars Animal Collection (Continued),desert+fall_line,9.5,35.1,-5.5,50.1,-10.0,80.0,,0,0,OK
Wraid,Star Wars Animal Collection (Continued),desert,9.5,35.1,-5.5,50.1,-10.0,80.0,,0,0,OK
