# Mod list active when CANONICAL_ASHKARR_START_2026-09-12.rws was saved (617 mods)
# packageId | name
zetrith.prepatcher	Prepatcher
lordfelix.rimcontrol	Rim Control
meathax.showmeyourtools	Show Me Your Tools - Forked
lee.theforce.lightsaber	Star Wars : The Force - Lightsaber
mandrake.rsw.starwarsraces	RimMandrake - Star Wars Races
mandrake.rsw.armoury	Jawa Armoury Rebalance
mandrake.rm.proximityhatch	RimMandrake: Proximity Hatch
mandrake.rm.creaturebehaviors	RimMandrake: Creature Behaviors
mandrake.rsw.swbestiary	RimMandrake: SW — Bestiary
mandrake.rsw.gizkastowaway	RimMandrake: SW — Gizka Stowaway
mandrake.rm.shipvermin	RimMandrake: Ship Vermin
mandrake.rsw.shokk	RimMandrake: SW — Shokk
mandrake.rm.greentide	RimMandrake: Greentide
mandrake.rsw.ionweapons	Jawa Ion Weapons (local)
mandrake.rut.shipmemory	RimUtinni: Ship Memory — the Chains Below
mandrake.rut.antiquities	Antiquities
mandrake.rut.rites	The Rites
mandrake.rut.researchretag	Research Retag
zylle.sandcastles	Sand Castles
mandrake.rm.patches	RimMandrake Patches
mandrake.rsw.patches	RimStarWars Patches
mandrake.rut.patches	RimUtinni Patches (Jawa campaign)
mandrake.rut.lanterndeeps	RimUtinni: Lantern Deeps
mandrake.rut.pawnflavor	Jawa Pawn Flavor — faction backstories and traits
btd.gbp.shippack.kotor.vge	[BTD] Ship Pack: KotOR Ships VGE
mandrake.rsw.droidworks	Droidworks
mandrake.rut.droidrepairjobs	RimUtinni: Droid Repair Jobs
mandrake.rm.wreckedmachines	Wrecked Machines
mandrake.rm.pyrelands	Pyrelands
mandrake.rut.pyrelandsmechanics	RimMandrake: Utinni — Pyrelands Mechanics
mandrake.rm.movingdunes	Moving Dunes
mandrake.rm.flowworks	RimMandrake: FlowWorks
mandrake.rm.oracle	RimMandrake: Oracle
mandrake.rm.property	RimProperty
mandrake.rm.rimdefdump	RimDefDump (local tooling)
mandrake.rut.birthhatchdemo	RimMandrake: Utinni — Birth & Hatch Demo
arandomkiwi.rimthemes	RimThemes
mandrake.rut.menushell	RimUtinni: Menu Shell
mandrake.rut.shokkweaveeconomy	RimUtinni: Shokkweave Economy
mandrake.rut.rustcathedralroaches	RimMandrake: Utinni — Rust Cathedral Roaches
mandrake.rm.gravshiplanding	RimMandrake: Gravship Landing Reveal
mandrake.rm.pits	RimMandrake Pits
rw.mod.simplestairs	SimpleStairs (Fork)
kutte.stairs	Simple Visual Stairs
mandrake.rsw.dalgoartoverride	Dalgo Art Override
mandrake.rsw.gizkaartoverride	Gizka Art Override
mandrake.rsw.grankartoverride	Grank Art Override
mandrake.rsw.greaterkraytdragonartoverride	Greater Krayt Dragon Art Override
mandrake.rsw.hawkbatartoverride	Hawk-bat Art Override
mandrake.rsw.kinrathartoverride	Kinrath Art Override
mandrake.rsw.ollopomartoverride	Ollopom Art Override
mandrake.rsw.orrayartoverride	Orray Art Override
mandrake.rsw.pekopekoartoverride	Peko-Peko Art Override
mandrake.rsw.shiroartoverride	Shiro Art Override
mandrake.rsw.vornskyrartoverride	Vornskyr Art Override
mandrake.rsw.whisperbirdartoverride	Whisperbird Art Override
mandrake.rsw.wyyyschokkartoverride	Wyyyschokk Art Override
mandrake.rsw.zeerartoverride	Zeer Art Override
mandrake.rut.acanthamoebagigantealargeartoverride	AcanthamoebaGiganteaLarge Art Override
mandrake.rut.agaripodartoverride	Agaripod Art Override
mandrake.rut.bloodshrimpartoverride	BloodShrimp Art Override
mandrake.rut.bumbledroneartoverride	Bumbledrone Art Override
mandrake.rut.bumbledronehierophantartoverride	BumbledroneHierophant Art Override
mandrake.rut.greengooartoverride	GreenGoo Art Override
mandrake.rut.mantistanisartoverride	Mantistanis Art Override
mandrake.rut.mycoidcolossusartoverride	MycoidColossus Art Override
mandrake.rut.raptorshrimpartoverride	RaptorShrimp Art Override
mandrake.rut.rimclawartoverride	Rimclaw Art Override
mandrake.rut.shadowchargerartoverride	Shadow Charger Art Override
mandrake.rut.targuzzlerartoverride	TarGuzzler Art Override
mandrake.rut.terramorphartoverride	Terramorph Art Override
mandrake.rut.thermadonartoverride	Thermadon Art Override
mandrake.rut.thunderoxartoverride	Thunderox Art Override
mandrake.rut.wildpodartoverride	Wildpod Art Override
